latitude,longitude,year,month,day,type,basisOfRecord,gbifID,occurrenceID,system:time_start,geometry
8.68927,-83.5835,2023.0,4.0,29.0,Fotograf{EK000018.JPG,MACHINE_OBSERVATION,4875630828,EK000018.JPG/DDC/fonafifo_2163,2023-04-29T00:00:00,POINT (-83.5835 8.68927)
8.70394,-83.55246,2023.0,2.0,24.0,Video,MACHINE_OBSERVATION,4875628959,07040628.MP4/DDC/fonafifo,2023-02-24T00:00:00,POINT (-83.55246 8.70394)
8.74807,-83.40155,2023.0,3.0,4.0,Fotograf{04260199.JPG,MACHINE_OBSERVATION,4875628779,04260199.JPG/DDC/fonafifo,2023-03-04T00:00:00,POINT (-83.40155 8.74807)
8.68927,-83.5835,2023.0,3.0,4.0,Fotograf{EK000018.JPG,MACHINE_OBSERVATION,4875628684,EK000018.JPG/DDC/fonafifo_2302,2023-03-04T00:00:00,POINT (-83.5835 8.68927)
10.738537,-85.572084,2023.0,1.0,27.0,Fotograf{05160553.JPG,MACHINE_OBSERVATION,4875628228,05160553.JPG/DDC/fonafifo,2023-01-27T00:00:00,POINT (-85.572084 10.738537)
8.74807,-83.40155,2023.0,6.0,27.0,Fotograf{04170140.JPG,MACHINE_OBSERVATION,4875628046,04170140.JPG/DDC/fonafifo,2023-06-27T00:00:00,POINT (-83.40155 8.74807)
10.726964,-85.5949,2023.0,10.0,21.0,Video,MACHINE_OBSERVATION,4875627828,05140412.MP4/DDC/fonafifo,2023-10-21T00:00:00,POINT (-85.5949 10.726964)
16.091204,-90.891915,2024.0,3.0,19.0,,HUMAN_OBSERVATION,4863550992,https://www.inaturalist.org/observations/214790890,2024-03-19T00:00:00,POINT (-90.891915 16.091204)
17.891654,-89.548375,2021.0,4.0,10.0,,HUMAN_OBSERVATION,4855247883,https://www.inaturalist.org/observations/213325578,2021-04-10T00:00:00,POINT (-89.548375 17.891654)
17.369527,-89.504643,2024.0,3.0,3.0,,HUMAN_OBSERVATION,4855040475,https://www.inaturalist.org/observations/213177391,2024-03-03T00:00:00,POINT (-89.504643 17.369527)
17.992404,-89.433595,2023.0,10.0,25.0,,HUMAN_OBSERVATION,4855036774,https://www.inaturalist.org/observations/213325509,2023-10-25T00:00:00,POINT (-89.433595 17.992404)
17.457022,-89.392291,1960.0,8.0,20.0,,HUMAN_OBSERVATION,4854914339,https://www.inaturalist.org/observations/213322793,1960-08-20T00:00:00,POINT (-89.392291 17.457022)
10.70885,-85.623591,2024.0,2.0,9.0,,HUMAN_OBSERVATION,4853092759,https://www.inaturalist.org/observations/210312578,2024-02-09T00:00:00,POINT (-85.623591 10.70885)
17.119499,-88.893873,2024.0,2.0,9.0,,HUMAN_OBSERVATION,4851916900,https://www.inaturalist.org/observations/208126944,2024-02-09T00:00:00,POINT (-88.893873 17.119499)
17.56088,-90.010382,2024.0,2.0,28.0,,HUMAN_OBSERVATION,4847061793,https://www.inaturalist.org/observations/154746762,2024-02-28T00:00:00,POINT (-90.010382 17.56088)
15.72263,-90.3291,2024.0,2.0,8.0,,PRESERVED_SPECIMEN,476849460,MCZ:Mamm:62916,2024-02-08T00:00:00,POINT (-90.3291 15.72263)
20.54222,-89.34441,2024.0,2.0,4.0,,PRESERVED_SPECIMEN,476845143,MCZ:Mamm:47823,2024-02-04T00:00:00,POINT (-89.34441 20.54222)
18.8,-89.366667,2024.0,1.0,30.0,,OCCURRENCE,46264538,,2024-01-30T00:00:00,POINT (-89.366667 18.8)
18.16,-90.071667,2024.0,2.0,1.0,,OCCURRENCE,46264536,,2024-02-01T00:00:00,POINT (-90.071667 18.16)
18.16,-90.071667,2007.0,4.0,9.0,,OCCURRENCE,46264534,,2007-04-09T00:00:00,POINT (-90.071667 18.16)
18.16,-90.071667,2024.0,2.0,17.0,,OCCURRENCE,46264531,,2024-02-17T00:00:00,POINT (-90.071667 18.16)
18.16,-90.071667,2024.0,1.0,1.0,,OCCURRENCE,46264527,,2024-01-01T00:00:00,POINT (-90.071667 18.16)
18.16,-90.071667,2024.0,2.0,6.0,,OCCURRENCE,46264518,,2024-02-06T00:00:00,POINT (-90.071667 18.16)
18.16,-90.071667,2024.0,2.0,8.0,,OCCURRENCE,46264515,,2024-02-08T00:00:00,POINT (-90.071667 18.16)
18.16,-90.071667,2024.0,1.0,14.0,,OCCURRENCE,46264505,,2024-01-14T00:00:00,POINT (-90.071667 18.16)
18.16,-90.071667,2024.0,1.0,26.0,,OCCURRENCE,46264503,,2024-01-26T00:00:00,POINT (-90.071667 18.16)
